transaction_date,voucher_number,ref_number,narration,chart_of_acc_head,account_head_group,Debit,Credit,Voucher_Type,group_no,group_name,_clean_text
2022-08-01,CPV220800022,BD-0290,"Amount paid to renewal of fire license No Bog/1330, Bog/176 [ Office Cost Tk. 6000, Challan Cost Tk. 2978]",Bogra Plant Cash,Cash-in-Hand,0.0,8978.0000,Payment[Cash],4,group_4,bogra plant cash
2022-08-01,CPV220800023,BD-0291,"Courier bill, Van fare for mech & Electric item carrying.",Carriage Inward-Local,Local Purchase,1665.0,0.0000,Payment[Cash],8,group_8,carriage inward-local
2022-08-01,CPV220800023,BD-0291,"Courier bill, Van fare for mech & Electric item carrying.",Bogra Plant Cash,Cash-in-Hand,0.0,1665.0000,Payment[Cash],4,group_4,bogra plant cash
2022-08-01,CPV220800070,ND-0244,"Paid to Mr. Soyeb Arifen Khan for Mobil, mobil filter, diesel filter and air filter for Mitsubishi car purpose.",Adv to Soyeb Arifen Khan-NP,Advance to Employee of NP,4430.0,0.0000,Payment[Cash],9,group_9,adv to soyeb arifen khan-np
2022-08-01,CPV220800070,ND-0244,"Paid to Mr. Soyeb Arifen Khan for Mobil, mobil filter, diesel filter and air filter for Mitsubishi car purpose.",Nandigram Plant Cash,Cash-in-Hand,0.0,4430.0000,Payment[Cash],4,group_4,nandigram plant cash
2022-08-02,CPV220800071,ND-0259,"Paid to Mr. Soyeb Arifen Khan for GI pipe, air hose pipe and nipple.",Adv to Soyeb Arifen Khan-NP,Advance to Employee of NP,22390.0,0.0000,Payment[Cash],9,group_9,adv to soyeb arifen khan-np
2022-08-02,CPV220800071,ND-0259,"Paid to Mr. Soyeb Arifen Khan for GI pipe, air hose pipe and nipple.",Nandigram Plant Cash,Cash-in-Hand,0.0,22390.0000,Payment[Cash],4,group_4,nandigram plant cash
2022-08-02,CPV220800072,ND-0260,Paid to Mr. Soyeb Arifen Khan for Mobil.,Adv to Soyeb Arifen Khan-NP,Advance to Employee of NP,21600.0,0.0000,Payment[Cash],9,group_9,adv to soyeb arifen khan-np
2022-08-02,CPV220800072,ND-0260,Paid to Mr. Soyeb Arifen Khan for Mobil.,Nandigram Plant Cash,Cash-in-Hand,0.0,21600.0000,Payment[Cash],4,group_4,nandigram plant cash
2022-08-01,CPV220800073,ND-0245,For petrol 5 liters.,Fac Motor Cycle Fuel,Fac Car Fuel Expenses,500.0,0.0000,Payment[Cash],10,group_10,fac motor cycle fuel
2022-08-01,CPV220800073,ND-0245,For petrol 5 liters.,Nandigram Plant Cash,Cash-in-Hand,0.0,500.0000,Payment[Cash],4,group_4,nandigram plant cash
2022-08-01,CPV220800074,ND-0246,For diesel 87 liters.,Fac Fuel Exp.No.3727[Tata Pickup],Fac Car Fuel Expenses,7000.0,0.0000,Payment[Cash],43,group_43,fac fuel exp.no.
2022-08-01,CPV220800074,ND-0246,For diesel 87 liters.,Nandigram Plant Cash,Cash-in-Hand,0.0,7000.0000,Payment[Cash],4,group_4,nandigram plant cash
2022-08-01,CPV220800075,ND-0247,For diesel 62 liters.,Fac Fuel Exp.No.13-4732[Mitsubishi],Fac Car Fuel Expenses,5000.0,0.0000,Payment[Cash],43,group_43,fac fuel exp.no. -
2022-08-01,CPV220800075,ND-0247,For diesel 62 liters.,Nandigram Plant Cash,Cash-in-Hand,0.0,5000.0000,Payment[Cash],4,group_4,nandigram plant cash
2022-08-01,CPV220800076,ND-0248,Special allowance for night duty.,Fac Snacks Expenses for Night Duty-Officer & Staff,Fac Canteen Expenses,3650.0,0.0000,Payment[Cash],5,group_5,fac snacks expenses for night duty-officer & staff
2022-08-01,CPV220800076,ND-0248,Special allowance for night duty.,Nandigram Plant Cash,Cash-in-Hand,0.0,3650.0000,Payment[Cash],4,group_4,nandigram plant cash
2022-08-01,CPV220800077,ND-0249,Special allowance for night duty.,Fac Snacks Expenses for Night Duty-Workers,Factory Overhead (Direct),6825.0,0.0000,Payment[Cash],5,group_5,fac snacks expenses for night duty-workers
2022-08-01,CPV220800077,ND-0249,Special allowance for night duty.,Nandigram Plant Cash,Cash-in-Hand,0.0,6825.0000,Payment[Cash],4,group_4,nandigram plant cash
2022-08-01,CPV220800078,C-0396,"Paid to MR. Mujibur Rahman as advance agt.PO-22070258,22070256",Adv to Mujibur Rahman-HO,Advance to Employee of HO,16800.0,0.0000,Payment[Cash],11,group_11,adv to mujibur rahman-ho
2022-08-01,CPV220800078,C-0396,"Paid to MR. Mujibur Rahman as advance agt.PO-22070258,22070256",Adv to Mujibur Rahman-HO,Advance to Employee of HO,27500.0,0.0000,Payment[Cash],11,group_11,adv to mujibur rahman-ho
2022-08-01,CPV220800078,C-0396,"Paid to MR. Mujibur Rahman as advance agt.PO-22070258,22070256",Head Office Cash,Cash-in-Hand,0.0,44300.0000,Payment[Cash],12,group_12,head office cash
2022-08-01,CPV220800078,ND-0250,Sweet for milad month of July\' 2022.,Fac Milad Expense,Fac Recreation & Ceremonies Exp.,1040.0,0.0000,Payment[Cash],5,group_5,fac milad expense
2022-08-01,CPV220800078,ND-0250,Sweet for milad month of July\' 2022.,Nandigram Plant Cash,Cash-in-Hand,0.0,1040.0000,Payment[Cash],4,group_4,nandigram plant cash
2022-08-01,CPV220800079,ND-0251,Net mending and khachi for gardening.,Fac Agri. & Gardening,Factory Overhead (Indirect),700.0,0.0000,Payment[Cash],13,group_13,fac agri. & gardening
2022-08-01,CPV220800079,ND-0251,Net mending and khachi for gardening.,Nandigram Plant Cash,Cash-in-Hand,0.0,700.0000,Payment[Cash],4,group_4,nandigram plant cash
2022-08-01,CPV220800080,C-0397,"Paid to MR. Mujibur Rahman as advance agt.PO-22070262,22070260",Adv to Mujibur Rahman-HO,Advance to Employee of HO,2000.0,0.0000,Payment[Cash],11,group_11,adv to mujibur rahman-ho
2022-08-01,CPV220800080,C-0397,"Paid to MR. Mujibur Rahman as advance agt.PO-22070262,22070260",Adv to Mujibur Rahman-HO,Advance to Employee of HO,3000.0,0.0000,Payment[Cash],11,group_11,adv to mujibur rahman-ho
2022-08-01,CPV220800080,C-0397,"Paid to MR. Mujibur Rahman as advance agt.PO-22070262,22070260",Head Office Cash,Cash-in-Hand,0.0,5000.0000,Payment[Cash],12,group_12,head office cash
2022-08-01,CPV220800080,ND-0252,"Sheet cutting charge, labor charge, pipe bending and self screw for boiler maintenance.",Repairs & Maint-Fac Husk Boiler,Fac Repairs Maintenance,5270.0,0.0000,Payment[Cash],3,group_3,repairs & maint-fac husk boiler
2022-08-01,CPV220800080,ND-0252,"Sheet cutting charge, labor charge, pipe bending and self screw for boiler maintenance.",Nandigram Plant Cash,Cash-in-Hand,0.0,5270.0000,Payment[Cash],4,group_4,nandigram plant cash
2022-08-01,CPV220800081,ND-0253,"Wages paid, sheet cutting charge, hose pipe and hand glove for mechanical department.",Repairs & Maint-Fac P&M,Fac Repairs Maintenance,1760.0,0.0000,Payment[Cash],3,group_3,repairs & maint-fac p&m
2022-08-01,CPV220800081,ND-0253,"Wages paid, sheet cutting charge, hose pipe and hand glove for mechanical department.",Nandigram Plant Cash,Cash-in-Hand,0.0,1760.0000,Payment[Cash],4,group_4,nandigram plant cash
2022-08-01,CPV220800082,ND-0254,Entertainment for office guest.,Fac Entertainment,Factory Overhead (Indirect),1140.0,0.0000,Payment[Cash],14,group_14,fac entertainment
2022-08-01,CPV220800082,ND-0254,Entertainment for office guest.,Nandigram Plant Cash,Cash-in-Hand,0.0,1140.0000,Payment[Cash],4,group_4,nandigram plant cash
2022-08-01,CPV220800083,ND-0255,"Paid to Mr. Akram Hossin, PW-137 for his accidental expenses purpose.",Health Policy Expense,Staff Welfare Expenses,62660.0,0.0000,Payment[Cash],15,group_15,health policy expense
2022-08-01,CPV220800083,ND-0255,"Paid to Mr. Akram Hossin, PW-137 for his accidental expenses purpose.",Nandigram Plant Cash,Cash-in-Hand,0.0,62660.0000,Payment[Cash],4,group_4,nandigram plant cash
2022-08-01,CPV220800102,C-0400,"Paid to Mr. Shohidul Islam as advance agt.PO-22070220,22070168,22070171,22070175,22070169,22070209,22070090,22070041,","Adv to Shohidul Islam-Procurement,HO",Advance to Employee of HO,5700.0,0.0000,Payment[Cash],16,group_16,adv to shohidul islam-procurement ho
2022-08-01,CPV220800102,C-0400,"Paid to Mr. Shohidul Islam as advance agt.PO-22070220,22070168,22070171,22070175,22070169,22070209,22070090,22070041,","Adv to Shohidul Islam-Procurement,HO",Advance to Employee of HO,3800.0,0.0000,Payment[Cash],16,group_16,adv to shohidul islam-procurement ho
2022-08-01,CPV220800102,C-0400,"Paid to Mr. Shohidul Islam as advance agt.PO-22070220,22070168,22070171,22070175,22070169,22070209,22070090,22070041,","Adv to Shohidul Islam-Procurement,HO",Advance to Employee of HO,8400.0,0.0000,Payment[Cash],16,group_16,adv to shohidul islam-procurement ho
2022-08-01,CPV220800102,C-0400,"Paid to Mr. Shohidul Islam as advance agt.PO-22070220,22070168,22070171,22070175,22070169,22070209,22070090,22070041,","Adv to Shohidul Islam-Procurement,HO",Advance to Employee of HO,7950.0,0.0000,Payment[Cash],16,group_16,adv to shohidul islam-procurement ho
2022-08-01,CPV220800102,C-0400,"Paid to Mr. Shohidul Islam as advance agt.PO-22070220,22070168,22070171,22070175,22070169,22070209,22070090,22070041,","Adv to Shohidul Islam-Procurement,HO",Advance to Employee of HO,14000.0,0.0000,Payment[Cash],16,group_16,adv to shohidul islam-procurement ho
2022-08-01,CPV220800102,C-0400,"Paid to Mr. Shohidul Islam as advance agt.PO-22070220,22070168,22070171,22070175,22070169,22070209,22070090,22070041,","Adv to Shohidul Islam-Procurement,HO",Advance to Employee of HO,26000.0,0.0000,Payment[Cash],16,group_16,adv to shohidul islam-procurement ho
2022-08-01,CPV220800102,C-0400,"Paid to Mr. Shohidul Islam as advance agt.PO-22070220,22070168,22070171,22070175,22070169,22070209,22070090,22070041,","Adv to Shohidul Islam-Procurement,HO",Advance to Employee of HO,5500.0,0.0000,Payment[Cash],16,group_16,adv to shohidul islam-procurement ho
2022-08-01,CPV220800102,C-0400,"Paid to Mr. Shohidul Islam as advance agt.PO-22070220,22070168,22070171,22070175,22070169,22070209,22070090,22070041,","Adv to Shohidul Islam-Procurement,HO",Advance to Employee of HO,15300.0,0.0000,Payment[Cash],16,group_16,adv to shohidul islam-procurement ho
2022-08-01,CPV220800102,C-0400,"Paid to Mr. Shohidul Islam as advance agt.PO-22070220,22070168,22070171,22070175,22070169,22070209,22070090,22070041,",Head Office Cash,Cash-in-Hand,0.0,86650.0000,Payment[Cash],12,group_12,head office cash
2022-08-01,CPV220800103,C-0401,"Paid to Mr. Shohidul Islam for Stud Bolt,Nut with Washer,Hand Gloves,Safety Goggles,Self Screw Purchase bill from Towfiq & Brothers,Asian Tools,Barnali & Moni Engineering Works.",Repairs & Maint-Fac P&M,Fac Repairs Maintenance,13249.0,0.0000,Payment[Cash],3,group_3,repairs & maint-fac p&m
2022-08-01,CPV220800103,C-0401,"Paid to Mr. Shohidul Islam for Stud Bolt,Nut with Washer,Hand Gloves,Safety Goggles,Self Screw Purchase bill from Towfiq & Brothers,Asian Tools,Barnali & Moni Engineering Works.",BMRE of Hammer Mill Platform & Chain Conv.11Th P-VC/2022/007,BMRE of Separating Crushed & Non Crushed Items-VC/2022/007,1470.0,0.0000,Payment[Cash],17,group_17,bmre of hammer mill platform & chain conv. th p-vc/ /
2022-08-01,CPV220800103,C-0401,"Paid to Mr. Shohidul Islam for Stud Bolt,Nut with Washer,Hand Gloves,Safety Goggles,Self Screw Purchase bill from Towfiq & Brothers,Asian Tools,Barnali & Moni Engineering Works.",BMRE of Electrical Systems (7th Plant)-VC/2022/007,BMRE of Separating Crushed & Non Crushed Items-VC/2022/007,1400.0,0.0000,Payment[Cash],18,group_18,bmre of electrical systems -vc/ /
2022-08-01,CPV220800103,C-0401,"Paid to Mr. Shohidul Islam for Stud Bolt,Nut with Washer,Hand Gloves,Safety Goggles,Self Screw Purchase bill from Towfiq & Brothers,Asian Tools,Barnali & Moni Engineering Works.",Head Office Cash,Cash-in-Hand,0.0,16119.0000,Payment[Cash],12,group_12,head office cash
2022-08-01,CPV220800105,C-0417,Paid to MR. Jalal Uddin as advance agt.PO-22070339,Adv to Jalal Uddin-HO,Advance to Employee of HO,167000.0,0.0000,Payment[Cash],9,group_9,adv to jalal uddin-ho
2022-08-01,CPV220800105,C-0417,Paid to MR. Jalal Uddin as advance agt.PO-22070339,Head Office Cash,Cash-in-Hand,0.0,167000.0000,Payment[Cash],12,group_12,head office cash
2022-08-01,CPV220800106,BD-0292,"Truck fare for carrying maize, L/C# 426010068326.",Carriage Inward-Import,Carriage Inword-Import,72750.0,0.0000,Payment[Cash],8,group_8,carriage inward-import
2022-08-01,CPV220800106,BD-0292,"Truck fare for carrying maize, L/C# 426010068326.",Bogra Plant Cash,Cash-in-Hand,0.0,72750.0000,Payment[Cash],4,group_4,bogra plant cash
2022-08-01,CPV220800107,BD-0293,"Truck fare for carrying (Maize, L/C# 074922020217.",Carriage Inward-Import,Carriage Inword-Import,49240.0,0.0000,Payment[Cash],8,group_8,carriage inward-import
2022-08-01,CPV220800107,BD-0293,"Truck fare for carrying (Maize, L/C# 074922020217.",Bogra Plant Cash,Cash-in-Hand,0.0,49240.0000,Payment[Cash],4,group_4,bogra plant cash
2022-08-01,CPV220800108,BD-0294,"Truck fare for carrying Maize, L/C# 154422020347.",Carriage Inward-Import,Carriage Inword-Import,22400.0,0.0000,Payment[Cash],8,group_8,carriage inward-import
2022-08-01,CPV220800108,BD-0294,"Truck fare for carrying Maize, L/C# 154422020347.",Bogra Plant Cash,Cash-in-Hand,0.0,22400.0000,Payment[Cash],4,group_4,bogra plant cash
2022-08-01,CPV220800109,BD-0295,"Truck fare for carrying Maize, L/C# 154422020359.",Carriage Inward-Import,Carriage Inword-Import,12220.0,0.0000,Payment[Cash],8,group_8,carriage inward-import
2022-08-01,CPV220800109,BD-0295,"Truck fare for carrying Maize, L/C# 154422020359.",Bogra Plant Cash,Cash-in-Hand,0.0,12220.0000,Payment[Cash],4,group_4,bogra plant cash
2022-08-01,CPV220800110,BD-0296,Labour bill payment for ( 326729kg) maize unload.,Fac Loading & Unloading Exp.,Factory Overhead (Direct),21230.0,0.0000,Payment[Cash],19,group_19,fac loading & unloading exp.
2022-08-01,CPV220800110,BD-0296,Labour bill payment for ( 326729kg) maize unload.,Bogra Plant Cash,Cash-in-Hand,0.0,21230.0000,Payment[Cash],4,group_4,bogra plant cash
2022-08-02,CPV220800111,BD-0297,"Purchase of Staff shoe, socks, shoe ink, leather belt, shoe brush.",Adv to Enamul Haque-BP,Advance to Employee of BP,41500.0,0.0000,Payment[Cash],20,group_20,adv to enamul haque-bp
2022-08-02,CPV220800111,BD-0297,"Purchase of Staff shoe, socks, shoe ink, leather belt, shoe brush.",Bogra Plant Cash,Cash-in-Hand,0.0,41500.0000,Payment[Cash],4,group_4,bogra plant cash
2022-08-02,CPV220800112,BD-0298,"Labour bill payment for New internal road, 8th plant silo, 9th plant begging pellet lifting pit & factory various maints & painting work purpose.",CWIP New Internal Road (Without Asphalt):DO/2022/002,BMRE of Shahjahanpur Factory:DO/2022/002,1900.0,0.0000,Payment[Cash],1,group_1,cwip new internal road do/ /
2022-08-02,CPV220800112,BD-0298,"Labour bill payment for New internal road, 8th plant silo, 9th plant begging pellet lifting pit & factory various maints & painting work purpose.",CWIP Civil Work of 7 RM Silo:VC/2022/014,CWIP Seven RM Silo in SP:VC/2022/014,7300.0,0.0000,Payment[Cash],2,group_2,cwip civil work of rm silo vc/ /
2022-08-02,CPV220800112,BD-0298,"Labour bill payment for New internal road, 8th plant silo, 9th plant begging pellet lifting pit & factory various maints & painting work purpose.",Repairs & Maint-Fac P&M,Fac Repairs Maintenance,1500.0,0.0000,Payment[Cash],3,group_3,repairs & maint-fac p&m
2022-08-02,CPV220800112,BD-0298,"Labour bill payment for New internal road, 8th plant silo, 9th plant begging pellet lifting pit & factory various maints & painting work purpose.",Repairs & Maint-Fac Building,Fac Repairs Maintenance,1400.0,0.0000,Payment[Cash],3,group_3,repairs & maint-fac building
2022-08-02,CPV220800112,BD-0298,"Labour bill payment for New internal road, 8th plant silo, 9th plant begging pellet lifting pit & factory various maints & painting work purpose.",Repairs & Maint-Others,Fac Repairs Maintenance,1550.0,0.0000,Payment[Cash],3,group_3,repairs & maint-others
2022-08-02,CPV220800112,BD-0298,"Labour bill payment for New internal road, 8th plant silo, 9th plant begging pellet lifting pit & factory various maints & painting work purpose.",Bogra Plant Cash,Cash-in-Hand,0.0,13650.0000,Payment[Cash],4,group_4,bogra plant cash
2022-08-02,CPV220800114,BD-0300,"Purchase of copper pipe, Bush for electric work & 5th plant pellet mill motor bearing repair purpose.",Repairs & Maint-Others,Fac Repairs Maintenance,35.0,0.0000,Payment[Cash],3,group_3,repairs & maint-others
2022-08-02,CPV220800114,BD-0300,"Purchase of copper pipe, Bush for electric work & 5th plant pellet mill motor bearing repair purpose.",Repairs & Maint-Electrical,Fac Repairs Maintenance,1700.0,0.0000,Payment[Cash],3,group_3,repairs & maint-electrical
2022-08-02,CPV220800114,BD-0300,"Purchase of copper pipe, Bush for electric work & 5th plant pellet mill motor bearing repair purpose.",Repairs & Maint-Fac P&M,Fac Repairs Maintenance,1420.0,0.0000,Payment[Cash],3,group_3,repairs & maint-fac p&m
2022-08-02,CPV220800114,BD-0300,"Purchase of copper pipe, Bush for electric work & 5th plant pellet mill motor bearing repair purpose.",Bogra Plant Cash,Cash-in-Hand,0.0,3155.0000,Payment[Cash],4,group_4,bogra plant cash
2022-08-02,CPV220800115,BD-0301,Purchase of paper cutting for weighing scale & Key bag for Accounts Dept.,Fac Stationery Exp.,Fac Printing & Stationery Exp.,890.0,0.0000,Payment[Cash],21,group_21,fac stationery exp.
2022-08-02,CPV220800115,BD-0301,Purchase of paper cutting for weighing scale & Key bag for Accounts Dept.,Bogra Plant Cash,Cash-in-Hand,0.0,890.0000,Payment[Cash],4,group_4,bogra plant cash
2022-08-02,CPV220800116,BD-0302,For Night duty.,Fac Snacks Expenses for Night Duty-Officer & Staff,Fac Canteen Expenses,1749.0,0.0000,Payment[Cash],5,group_5,fac snacks expenses for night duty-officer & staff
2022-08-02,CPV220800116,BD-0302,For Night duty.,Fac Snacks Expenses for Night Duty-Workers,Factory Overhead (Direct),992.0,0.0000,Payment[Cash],5,group_5,fac snacks expenses for night duty-workers
2022-08-02,CPV220800116,BD-0302,For Night duty.,Bogra Plant Cash,Cash-in-Hand,0.0,2741.0000,Payment[Cash],4,group_4,bogra plant cash
2022-08-01,CPV220800148,ND-0257,"Truck fare for carriage Maize, L/C No# 426010068326.",Carriage Inward-Import,Carriage Inword-Import,56480.0,0.0000,Payment[Cash],8,group_8,carriage inward-import
2022-08-01,CPV220800148,ND-0257,"Truck fare for carriage Maize, L/C No# 426010068326.",Nandigram Plant Cash,Cash-in-Hand,0.0,56480.0000,Payment[Cash],4,group_4,nandigram plant cash
2022-08-02,CPV220800148,C-0442,"Paid to MR. Abu Saleh Musa as advance agt.PO-22070309 For Engine Oil,Fuel Filter,Mobil,Air Cleaner Purchase Purpose.",Adv to Abu Saleh Musa-Procurement,Advance to Employee of HO,41200.0,0.0000,Payment[Cash],16,group_16,adv to abu saleh musa-procurement
2022-08-02,CPV220800148,C-0442,"Paid to MR. Abu Saleh Musa as advance agt.PO-22070309 For Engine Oil,Fuel Filter,Mobil,Air Cleaner Purchase Purpose.",Head Office Cash,Cash-in-Hand,0.0,41200.0000,Payment[Cash],12,group_12,head office cash
2022-08-01,CPV220800149,ND-0258,"Truck fare for carriage Maize, L/C No# 154422020359.",Carriage Inward-Import,Carriage Inword-Import,11650.0,0.0000,Payment[Cash],8,group_8,carriage inward-import
2022-08-01,CPV220800149,ND-0258,"Truck fare for carriage Maize, L/C No# 154422020359.",Nandigram Plant Cash,Cash-in-Hand,0.0,11650.0000,Payment[Cash],4,group_4,nandigram plant cash
2022-08-02,CPV220800154,BD-0304,"Truck fare for carrying maize, L/C# 426010068326.",Carriage Inward-Import,Carriage Inword-Import,70375.0,0.0000,Payment[Cash],8,group_8,carriage inward-import
2022-08-02,CPV220800154,BD-0304,"Truck fare for carrying maize, L/C# 426010068326.",Bogra Plant Cash,Cash-in-Hand,0.0,70375.0000,Payment[Cash],4,group_4,bogra plant cash
2022-08-01,CPV220800155,ND-0256,"Truck fare for carriage Maize, L/C No# 249022021506 ( 426010071679 ).",Carriage Inward-Import,Carriage Inword-Import,77940.0,0.0000,Payment[Cash],8,group_8,carriage inward-import
2022-08-01,CPV220800155,ND-0256,"Truck fare for carriage Maize, L/C No# 249022021506 ( 426010071679 ).",Nandigram Plant Cash,Cash-in-Hand,0.0,77940.0000,Payment[Cash],4,group_4,nandigram plant cash
2022-08-02,CPV220800156,BD-0305,"Truck fare for carrying Maize, L/C# 154422020359.",Carriage Inward-Import,Carriage Inword-Import,87310.0,0.0000,Payment[Cash],8,group_8,carriage inward-import
2022-08-02,CPV220800156,BD-0305,"Truck fare for carrying Maize, L/C# 154422020359.",Bogra Plant Cash,Cash-in-Hand,0.0,87310.0000,Payment[Cash],4,group_4,bogra plant cash
2022-08-02,CPV220800156,ND-0261,For diesel 98 liters.,Fac Fuel Exp.No.13-0505[JAC],Fac Car Fuel Expenses,7930.0,0.0000,Payment[Cash],43,group_43,fac fuel exp.no. -
2022-08-02,CPV220800156,ND-0261,For diesel 98 liters.,Nandigram Plant Cash,Cash-in-Hand,0.0,7930.0000,Payment[Cash],4,group_4,nandigram plant cash
2022-08-02,CPV220800157,BD-0306,"Truck fare for carrying (Maize, L/C# 074922020217.",Carriage Inward-Import,Carriage Inword-Import,85630.0,0.0000,Payment[Cash],8,group_8,carriage inward-import
2022-08-02,CPV220800157,BD-0306,"Truck fare for carrying (Maize, L/C# 074922020217.",Bogra Plant Cash,Cash-in-Hand,0.0,85630.0000,Payment[Cash],4,group_4,bogra plant cash
2022-08-02,CPV220800157,ND-0262,Special allowance for night duty.,Fac Snacks Expenses for Night Duty-Officer & Staff,Fac Canteen Expenses,3175.0,0.0000,Payment[Cash],5,group_5,fac snacks expenses for night duty-officer & staff
2022-08-02,CPV220800157,ND-0262,Special allowance for night duty.,Nandigram Plant Cash,Cash-in-Hand,0.0,3175.0000,Payment[Cash],4,group_4,nandigram plant cash
2022-08-02,CPV220800158,BD-0307,"Truck fare for carrying Maize, L/C# 141722020274.",Carriage Inward-Import,Carriage Inword-Import,24150.0,0.0000,Payment[Cash],8,group_8,carriage inward-import
2022-08-02,CPV220800158,BD-0307,"Truck fare for carrying Maize, L/C# 141722020274.",Bogra Plant Cash,Cash-in-Hand,0.0,24150.0000,Payment[Cash],4,group_4,bogra plant cash
2022-08-02,CPV220800158,ND-0263,Special allowance for night duty.,Fac Snacks Expenses for Night Duty-Workers,Factory Overhead (Direct),4625.0,0.0000,Payment[Cash],5,group_5,fac snacks expenses for night duty-workers
2022-08-02,CPV220800158,ND-0263,Special allowance for night duty.,Nandigram Plant Cash,Cash-in-Hand,0.0,4625.0000,Payment[Cash],4,group_4,nandigram plant cash
2022-08-02,CPV220800159,BD-0308,Labour bill payment for (285552 kg) maize unload.,Fac Loading & Unloading Exp.,Factory Overhead (Direct),18560.0,0.0000,Payment[Cash],19,group_19,fac loading & unloading exp.
2022-08-02,CPV220800159,BD-0308,Labour bill payment for (285552 kg) maize unload.,Bogra Plant Cash,Cash-in-Hand,0.0,18560.0000,Payment[Cash],4,group_4,bogra plant cash
2022-08-02,CPV220800160,ND-0264,"Duster, brush for cleaning and gas tablet for rat killing purpose.",Fac Cleaning & Washing,Factory Overhead (Indirect),1780.0,0.0000,Payment[Cash],22,group_22,fac cleaning & washing
2022-08-02,CPV220800160,ND-0264,"Duster, brush for cleaning and gas tablet for rat killing purpose.",Nandigram Plant Cash,Cash-in-Hand,0.0,1780.0000,Payment[Cash],4,group_4,nandigram plant cash
2022-08-03,CPV220800160,BD-0309,Purchase of Medicine for factory medical.,AP Supplier Payable,Sundry Creditors,6500.0,0.0000,Payment[Cash],23,group_23,ap supplier payable
2022-08-03,CPV220800160,BD-0309,Purchase of Medicine for factory medical.,Bogra Plant Cash,Cash-in-Hand,0.0,6500.0000,Payment[Cash],4,group_4,bogra plant cash
2022-08-02,CPV220800161,ND-0265,"Accidental exp. for Mr. Arafat ( Electrician ) and Mr. Mehedi, CW-800.",Fac Medical & Acc. Exp-General,Fac Medical Expenses,567.0,0.0000,Payment[Cash],24,group_24,fac medical & acc. exp-general
2022-08-02,CPV220800161,ND-0265,"Accidental exp. for Mr. Arafat ( Electrician ) and Mr. Mehedi, CW-800.",Nandigram Plant Cash,Cash-in-Hand,0.0,567.0000,Payment[Cash],4,group_4,nandigram plant cash
2022-08-02,CPV220800162,ND-0266,Socket and plug for electrical department purpose.,Repairs & Maint-Electrical,Fac Repairs Maintenance,1550.0,0.0000,Payment[Cash],3,group_3,repairs & maint-electrical
2022-08-02,CPV220800162,ND-0266,Socket and plug for electrical department purpose.,Nandigram Plant Cash,Cash-in-Hand,0.0,1550.0000,Payment[Cash],4,group_4,nandigram plant cash
2022-08-02,CPV220800163,ND-0267,Fooding Advance to M/S. Vai Vai Enterprise for office building - 1 painting work.,Repairs & Maint-Fac Building,Fac Repairs Maintenance,6600.0,0.0000,Payment[Cash],3,group_3,repairs & maint-fac building
